,0,1
5,"(None, False, (1, 2), 0.7, 10)",0.8865312624740836
4,"(None, False, (1, 2), 0.5, 10)",0.8862500271224297
0,"('stem', False, (1, 2), 0.7, 8)",0.8860312429412467
2,"('stem', False, (1, 2), 0.7, 12)",0.8858749568069998
10,"('stem', False, (1, 2), 0.5, 10)",0.8854999831742788
3,"(None, False, (1, 2), 0.2, 10)",0.8853437732142875
11,"('stem', False, (1, 2), 0.7, 10)",0.8852812400100026
1,"('stem', False, (1, 2), 0.7, 10)",0.8852812400100026
5,"('lemmatize', False, (1, 2), 0.7, 12)",0.8850625056350637
4,"('lemmatize', False, (1, 2), 0.7, 10)",0.8850312507520376
3,"('lemmatize', False, (1, 2), 0.7, 8)",0.8842499607101978
9,"('stem', False, (1, 2), 0.2, 10)",0.8836562907896658
1,"(None, False, (1, 1), 0.5, 10)",0.8836562087558523
2,"(None, False, (1, 1), 0.7, 10)",0.8835936784813464
0,"(None, False, (1, 1), 0.2, 10)",0.8816250398091054
7,"('stem', False, (1, 1), 0.5, 10)",0.8800312692975392
8,"('stem', False, (1, 1), 0.7, 10)",0.8799063025014577
6,"('stem', False, (1, 1), 0.2, 10)",0.8753750065927353
